lambda(nm),E(W m^-2 nm^-1)
,"Spline interp of ""E(W m^-2 nm^-1)"""
356,0.0097645147387943
357,0.00999437562292036
358,0.0102275791376493
359,0.0104631217682521
360,0.0107
361,0.0109375359008808
362,0.0111763538697495
363,0.0114174038881778
364,0.0116616359377374
365,0.01191
366,0.0121633096576825
367,0.0124218328980817
368,0.0126857013096397
369,0.0129550464807985
370,0.01323
371,0.0135104254683893
372,0.0137951145379237
373,0.0140825908732634
374,0.0143713781390688
375,0.01466
376,0.0149477884687602
377,0.0152373089502235
378,0.0155319351973066
379,0.0158350409629265
380,0.01615
381,0.0164785006565698
382,0.0168154896611824
383,0.0171542283375101
384,0.0174879780092252
385,0.01781
386,0.0181168489049605
387,0.0184182524050469
388,0.0187272314526531
389,0.0190568070001728
390,0.01942
391,0.0198243437235882
392,0.02025542071863
393,0.0206933258518777
394,0.0211181539900836
395,0.02151
396,0.0218549762006867
397,0.0221632647204331
398,0.0224510651398362
399,0.0227345770394929
400,0.02303
401,0.0233503103562713
402,0.023695591460488
403,0.0240627034191478
404,0.0244485063387487
405,0.0248498603257886
406,0.0252636254867654
407,0.0256866619281771
408,0.0261158297565214
409,0.0265479890782965
410,0.02698
411,0.0274094014574874
412,0.0278364477040432
413,0.0282620718223096
414,0.0286872068949285
415,0.029112786004542
416,0.0295397422337922
417,0.029969008665321
418,0.0304015183817706
419,0.0308382044657829
420,0.03128
421,0.0317276138137793
422,0.0321808577233393
423,0.032639319291614
424,0.0331025860815374
425,0.0335702456560434
426,0.0340418855780659
427,0.0345170934105389
428,0.0349954567163963
429,0.035476563058572
430,0.03596
431,0.0364454332873956
432,0.0369328414025996
433,0.0374222810112343
434,0.0379138087789218
435,0.0384074813712843
436,0.0389033554539441
437,0.0394014876925234
438,0.0399019347526443
439,0.0404047532999291
440,0.04091
441,0.0414177730366384
442,0.0419283366662622
443,0.0424419966634488
444,0.0429590588027754
445,0.0434798288588193
446,0.0440046126061576
447,0.0445337158193675
448,0.0450674442730265
449,0.0456061037417115
450,0.04615
451,0.046699324566051
452,0.0472538119323515
453,0.0478130823349704
454,0.0483767560099764
455,0.0489444531934386
456,0.0495157941214256
457,0.0500903990300064
458,0.0506678881552498
459,0.0512478817332247
460,0.05183
461,0.0524139086991575
462,0.0529994556043316
463,0.0535865339966696
464,0.0541750371573188
465,0.0547648583674265
466,0.0553558909081401
467,0.0559480280606069
468,0.0565411631059743
469,0.0571351893253895
470,0.05773
471,0.0583255406373188
472,0.0589219656503219
473,0.0595194816783512
474,0.0601182953607485
475,0.0607186133368555
476,0.0613206422460141
477,0.0619245887275661
478,0.0625306594208532
479,0.0631390609652172
480,0.06375
481,0.0643636187515673
482,0.0649798017943806
483,0.0655983692899254
484,0.0662191413996872
485,0.0668419382851514
486,0.0674665801078034
487,0.0680928870291288
488,0.0687206792106131
489,0.0693497768137417
490,0.06998
491,0.070611284356412
492,0.0712440271721556
493,0.0718787411619471
494,0.0725159390405028
495,0.0731561335225391
496,0.0737998373227722
497,0.0744475631559185
498,0.0750998237366944
499,0.0757571317798161
500,0.07642
501,0.0770886438227846
502,0.0777620895169969
503,0.0784390660622862
504,0.0791183024383016
505,0.0797985276246924
506,0.0804784706011078
507,0.0811568603471971
508,0.0818324258426094
509,0.082503896066994
510,0.08317
511,0.0838298903524497
512,0.0844844147598568
513,0.0851348445889083
514,0.0857824512062909
515,0.0864285059786913
516,0.0870742802727965
517,0.0877210454552931
518,0.0883700728928681
519,0.0890226339522081
520,0.08968
521,0.0903430247674167
522,0.0910108914435758
523,0.0916823655820806
524,0.092356212736535
525,0.0930311984605423
526,0.0937060883077063
527,0.0943796478316304
528,0.0950506425859184
529,0.0957178381241737
530,0.09638
531,0.0970363405778834
532,0.0976878594658401
533,0.0983360030827691
534,0.0989822178475693
535,0.0996279501791394
536,0.100274646496378
537,0.100923753218185
538,0.101576716763458
539,0.102234983551097
540,0.1029
541,0.10357277292105
542,0.104252550693064
543,0.104938142086843
544,0.105628355873188
545,0.1063220008229
546,0.10701788570678
547,0.107714819295629
548,0.108411610360248
549,0.109107067671438
550,0.1098
551,0.110489335365683
552,0.111174478784032
553,0.111854954519539
554,0.112530286836698
555,0.1132
556,0.113864037251812
557,0.114524017745989
558,0.11518197961426
559,0.115839960988354
560,0.1165
561,0.117163672831764
562,0.117830707869565
563,0.118500371550158
564,0.119171930310299
565,0.119844650586745
566,0.120517798816252
567,0.121190641435574
568,0.121862444881469
569,0.122532475590692
570,0.1232
571,0.123864508532464
572,0.12452638755642
573,0.12518624742652
574,0.125844698497415
575,0.126502351123758
576,0.127159815660201
577,0.127817702461394
578,0.128476621881991
579,0.129137184276642
580,0.1298
581,0.13046539303838
582,0.131132541904756
583,0.131800338743763
584,0.13246767570004
585,0.133133444918221
586,0.133796538542945
587,0.134455848718848
588,0.135110267590567
589,0.135758687302739
590,0.1364
591,0.137033519314015
592,0.137660244824556
593,0.138281597598427
594,0.138898998702426
595,0.139513869203356
596,0.140127630168018
597,0.140741702663212
598,0.141357507755739
599,0.141976466512402
600,0.1426
601,0.143229129705561
602,0.143863278797018
603,0.14450147086253
604,0.145142729490256
605,0.145786078268354
606,0.146430540784984
607,0.147075140628305
608,0.147718901386475
609,0.148360846647654
610,0.149
611,0.14963556186374
612,0.15026743998737
613,0.150895718951452
614,0.15152048333655
615,0.152141817723227
616,0.152759806692046
617,0.15337453482357
618,0.153986086698361
619,0.154594546896983
620,0.1552
621,0.155802522839478
622,0.156402161253502
623,0.15699895333166
624,0.157592937163542
625,0.158184150838737
626,0.158772632446832
627,0.159358420077417
628,0.159941551820081
629,0.160522065764412
630,0.1611
