lambda(nm),E(W m^-2 nm^-1)
,"Spline interp of ""E(W m^-2 nm^-1)"""
360,0.01007
361,0.0102965203294508
362,0.0105257090624908
363,0.0107576376308054
364,0.0109923774660801
365,0.01123
366,0.0114707058381845
367,0.0117152122819883
368,0.0119643658066998
369,0.0122190128876075
370,0.01248
371,0.0127476963178111
372,0.0130205618095561
373,0.0132965791423955
374,0.0135737309834899
375,0.01385
376,0.0141242688905711
377,0.0143990204797875
378,0.0146776376237183
379,0.0149635031784328
380,0.01526
381,0.0155691481199047
382,0.0158875162712941
383,0.0162103103627312
384,0.0165327363027789
385,0.01685
386,0.0171590586298103
387,0.0174638744350362
388,0.0177701609253569
389,0.0180836316104518
390,0.01841
391,0.0187530173608543
392,0.0191085859885613
393,0.0194706459358412
394,0.019833137255414
395,0.02019
396,0.0205368719267726
397,0.0208761816107187
398,0.0212120553312785
399,0.0215486193678922
400,0.02189
401,0.0222395170064921
402,0.0225972641640581
403,0.0229625287488377
404,0.0233345980369704
405,0.0237127593045958
406,0.0240962998278536
407,0.0244845068828833
408,0.0248766677458245
409,0.0252720696928169
410,0.02567
411,0.0260699143798804
412,0.0264719422904325
413,0.0268763816259977
414,0.0272835302809175
415,0.0276936861495332
416,0.0281071471261863
417,0.0285242111052181
418,0.02894517598097
419,0.0293703396477835
420,0.0298
421,0.0302343654739864
422,0.030673286674212
423,0.0311165247471715
424,0.0315638408393597
425,0.0320149960972714
426,0.0324697516674014
427,0.0329278686962445
428,0.0333891083302954
429,0.033853231716049
430,0.03432
431,0.034789223724174
432,0.0352609110127197
433,0.0357351193853165
434,0.0362119063616438
435,0.0366913294613813
436,0.0371734462042082
437,0.037658314109804
438,0.0381459906978483
439,0.0386365334880205
440,0.03913
441,0.0396264396293176
442,0.0401258692749094
443,0.0406282977115627
444,0.041133733714065
445,0.0416421860572036
446,0.0421536635157659
447,0.0426681748645393
448,0.0431857288783112
449,0.043706334331869
450,0.04423
451,0.0447567577585556
452,0.0452867318876428
453,0.0458200697684327
454,0.0463569187820962
455,0.0468974263098043
456,0.0474417397327281
457,0.0479900064320386
458,0.0485423737889067
459,0.0490989891845035
460,0.04966
461,0.0502254293364601
462,0.0507948031745194
463,0.0513675232147066
464,0.0519429911575503
465,0.0525206087035791
466,0.0530997775533215
467,0.0536798994073062
468,0.0542603759660618
469,0.0548406089301169
470,0.05542
471,0.0559981548956041
472,0.0565754954142795
473,0.0571526473727408
474,0.0577302365877025
475,0.0583088888758793
476,0.0588892300539857
477,0.0594718859387364
478,0.060057482346846
479,0.0606466450950289
480,0.06124
481,0.0618380010811234
482,0.0624404151683625
483,0.0630468372943303
484,0.0636568624916397
485,0.0642700857929038
486,0.0648861022307357
487,0.0655045068377482
488,0.0661248946465544
489,0.0667468606897673
490,0.06737
491,0.0679940007799021
492,0.0686189239122704
493,0.0692449234499381
494,0.0698721534457386
495,0.0705007679525053
496,0.0711309210230717
497,0.0717627667102709
498,0.0723964590669365
499,0.0730321521459017
500,0.07367
501,0.074310065799268
502,0.074952049182556
503,0.0755955589059174
504,0.0762402037254059
505,0.0768855923970748
506,0.0775313336769777
507,0.0781770363211681
508,0.0788223090856997
509,0.0794667607266258
510,0.08011
511,0.0807517860230257
512,0.0813924793575056
513,0.0820325909263922
514,0.082672631652638
515,0.0833131124591957
516,0.0839545442690177
517,0.0845974380050565
518,0.0852423045902649
519,0.0858896549475952
520,0.08654
521,0.0871936501086292
522,0.0878501133874217
523,0.0885086973885139
